,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
231,600519.SH,20230713,1721.99,1745.41,1719.01,1738.4,1713.8,24.6,1.4354,25806.54,4479772.5
232,300750.SZ,20230712,228.5,229.4,226.5,226.99,229.09,-2.1,-0.9167,86932.6,1976029.055
233,600519.SH,20230712,1713.04,1723.0,1711.33,1713.8,1710.0,3.8,0.2222,13284.67,2280785.351
234,300750.SZ,20230711,229.65,229.99,226.58,229.09,228.8,0.29,0.1267,91587.87,2094183.189
235,600519.SH,20230711,1710.0,1715.17,1702.1,1710.0,1700.9,9.1,0.535,12582.7,2151079.27
236,300750.SZ,20230710,223.0,230.0,223.0,228.8,222.25,6.55,2.9471,160938.31,3674535.625
237,600519.SH,20230710,1705.0,1714.96,1700.0,1700.9,1690.03,10.87,0.6432,13477.41,2298241.728
238,300750.SZ,20230707,224.8,224.85,221.6,222.25,224.85,-2.6,-1.1563,98083.77,2186457.551
239,600519.SH,20230707,1701.0,1708.99,1690.0,1690.03,1702.98,-12.95,-0.7604,15167.42,2571458.553
240,300750.SZ,20230706,227.0,228.48,223.97,224.85,227.51,-2.66,-1.1692,102835.68,2323630.149
241,600519.SH,20230706,1709.16,1733.0,1700.0,1702.98,1715.38,-12.4,-0.7229,15140.62,2589459.002
242,300750.SZ,20230705,229.26,230.41,225.5,227.51,229.25,-1.74,-0.759,86364.14,1968738.617
243,600519.SH,20230705,1730.0,1731.97,1700.0,1715.38,1730.6,-15.22,-0.8795,14745.39,2523960.725
244,300750.SZ,20230704,228.5,230.05,227.68,229.25,229.88,-0.63,-0.2741,101556.73,2322971.862
